"YEAR_MONTH","REGION_NAME","ITEMS","COST"
202101,"EAST OF ENGLAND",796466,3406002.61
202101,"LONDON",678021,3205663.66
202101,"MIDLANDS",1249416,5698605.43
202101,"NORTH EAST AND YORKSHIRE",1428677,5741978.96
202101,"NORTH WEST",1003963,4435228.7
202101,"SOUTH EAST",872413,4607156.99
202101,"SOUTH WEST",682649,3116440.55
202102,"EAST OF ENGLAND",744070,3180281.76
202102,"LONDON",650002,3078749.18
202102,"MIDLANDS",1178479,5363909.04
202102,"NORTH EAST AND YORKSHIRE",1354021,5432553.6
202102,"NORTH WEST",953464,4212560.21
202102,"SOUTH EAST",818926,4317565.04
202102,"SOUTH WEST",638752,2892826.34
202103,"EAST OF ENGLAND",828487,3531679.32
202103,"LONDON",736354,3521757.09
202103,"MIDLANDS",1322856,6002909.22
202103,"NORTH EAST AND YORKSHIRE",1535845,6146084.47
202103,"NORTH WEST",1075578,4709379.6
202103,"SOUTH EAST",916024,4781786.03
202103,"SOUTH WEST",714004,3240013.91
202104,"EAST OF ENGLAND",809437,2811986.93
202104,"LONDON",709107,2651395
202104,"MIDLANDS",1289021,4646928.32
202104,"NORTH EAST AND YORKSHIRE",1471208,4658988.98
202104,"NORTH WEST",1040626,3607424.32
202104,"SOUTH EAST",880153,3775277.76
202104,"SOUTH WEST",695882,2543553.24
202105,"EAST OF ENGLAND",775715,2696129.04
202105,"LONDON",687346,2608656.29
202105,"MIDLANDS",1222685,4430595.3
202105,"NORTH EAST AND YORKSHIRE",1407291,4438678.54
202105,"NORTH WEST",986058,3428729
202105,"SOUTH EAST",851705,3637278.64
202105,"SOUTH WEST",666709,2432041.37
202106,"EAST OF ENGLAND",816813,2822995.3
202106,"LONDON",733704,2768824.51
202106,"MIDLANDS",1306287,4749457.8
202106,"NORTH EAST AND YORKSHIRE",1506427,4766515.31
202106,"NORTH WEST",1055959,3668062.33
202106,"SOUTH EAST",894574,3851743.44
202106,"SOUTH WEST",702032,2595025.89
202107,"EAST OF ENGLAND",826383,2501638.21
202107,"LONDON",732043,2409483.97
202107,"MIDLANDS",1302708,4073899.34
202107,"NORTH EAST AND YORKSHIRE",1491820,4002613.26
202107,"NORTH WEST",1051965,3132065.75
202107,"SOUTH EAST",906119,3366751.97
202107,"SOUTH WEST",704886,2240511.44
202108,"EAST OF ENGLAND",786612,2358955.99
202108,"LONDON",699329,2257668.38
202108,"MIDLANDS",1247386,3860055.91
202108,"NORTH EAST AND YORKSHIRE",1441322,3859428.12
202108,"NORTH WEST",1008866,2992657.93
202108,"SOUTH EAST",856650,3185533.45
202108,"SOUTH WEST",672182,2126241.51
202109,"EAST OF ENGLAND",819171,2464376.26
